stage,stiffness_n_per_m32,dissipation_s_per_m,duration_s,duration_residual_s,trace_rmse,objective,passive
grid,5623413.251903491,0.0,0.002256878926380272,0.0012568789263802719,0.40625393769663076,50.68141099290751,True
grid,5956621.435290109,0.0,0.002205506087436708,0.001205506087436708,0.4046170380639794,48.6248605355323,True
grid,6309573.44480193,0.0,0.0021553026370139967,0.0011553026370139967,0.402949724681473,46.61505520524133,True
grid,6683439.175686149,0.0,0.002106241956578106,0.0011062419565781058,0.40126517044262816,44.65094343356686,True
grid,7079457.843841373,0.0,0.0020582980335067916,0.0010582980335067916,0.3995809773371899,42.73150231760885,True
grid,7498942.093324558,0.0,0.002011445447297437,0.001011445447297437,0.3979203958705084,40.85573828776799,True
grid,7943282.347242822,0.0,0.001965659356089065,0.0009656593560890651,0.3963138831026436,39.022688126665244,True
grid,8413951.416451948,0.0,0.0019209154834893476,0.0009209154834893475,0.39423092222101724,37.23085026179492,True
grid,8912509.381337458,0.0,0.0018771901057055755,0.0008771901057055755,0.3918539034474872,35.47945813167051,True
grid,9440608.762859225,0.0,0.0018344600389628128,0.0008344600389628128,0.38912791892708454,33.767529477439595,True
grid,10000000.0,0.0,0.0017927026272149956,0.0007927026272149956,0.3857162871352522,32.093821375735075,True
grid,10592537.251772897,0.0,0.0017518957301287347,0.0007518957301287346,0.3822234679445937,30.458052673093977,True
grid,11220184.54301963,0.0,0.0017120177113477768,0.0007120177113477768,0.3775426271868301,28.8582510810979,True
grid,11885022.27437019,0.0,0.0016730474270184822,0.0006730474270184822,0.3726179962621603,27.294515077001446,True
grid,12589254.117941663,0.0,0.0016349642145800174,0.0006349642145800174,0.36700062535106553,25.76556920855176,True
grid,13335214.32163324,0.0,0.001597747881809702,0.0005977478818097019,0.3603335367014222,24.270248809089498,True
grid,14125375.446227554,0.0,0.0015613786961143183,0.0005613786961143183,0.35336038375385936,22.808508228326588,True
grid,14962356.560944328,0.0,0.0015258373740710414,0.0005258373740710414,0.34508551606195315,21.378580478903608,True
grid,15848931.924611142,0.0,0.001491105071200242,0.000491105071200242,0.3359301519586286,19.98013299996831,True
grid,16788040.18122559,0.0,0.0014571633719750248,0.0004571633719750248,0.32633891383020247,18.612873792831195,True
grid,17782794.100389227,0.0,0.0014239942800567862,0.00042399428005678616,0.31504541713490497,17.274816619406348,True
grid,18836490.89489802,0.0,0.0013915802087550912,0.0003915802087550912,0.30286118036416426,15.966069530567813,True
grid,19952623.149688788,0.0,0.0013599039716990292,0.00035990397169902914,0.29011763004869207,14.686276498009859,True
grid,21134890.398366477,0.0,0.001328948773729238,0.00032894877372923793,0.2756493086437676,13.433600257813284,True
grid,22387211.385683376,0.0,0.0012986982019903871,0.0002986982019903871,0.26000823850235555,12.207936318117838,True
grid,23713737.056616552,0.0,0.0012691362172277212,0.00026913621722772117,0.24373832998332717,11.009187019092172,True
grid,25118864.315095823,0.0,0.0012402471452861706,0.00024024714528617054,0.22627388575059204,9.836159697197413,True
grid,26607250.597988084,0.0,0.0012120156687970198,0.0002120156687970198,0.2070650566844339,8.687691808565225,True
grid,28183829.31264455,0.0,0.0011844268190583788,0.00018442681905837875,0.18734792993742655,7.564420692272576,True
grid,29853826.189179573,0.0,0.0011574659680968068,0.0001574659680968068,0.16728665099147683,6.4659253748637475,True
grid,31622776.60168379,0.0,0.0011311188209128316,0.00013111882091283158,0.14590658749438637,5.39065942400765,True
grid,33496543.915782794,0.0,0.0011053714078983036,0.00010537140789830361,0.12450136599928037,4.339357681931425,True
grid,35481338.92335753,0.0,0.001080210077436475,8.021007743647503e-05,0.1045831512953259,3.312986248754327,True
grid,37583740.42884443,0.0,0.001055621488654939,5.562148865493905e-05,0.08814204408367741,2.3130015902812393,True
grid,39810717.05534969,0.0,0.0010315926043591047,3.1592604359104636e-05,0.07760260832451846,1.341306782688704,True
grid,42169650.342858225,0.0,0.0010081106841167329,8.110684116732856e-06,0.07822754632474636,0.4026549109940606,True
grid,44668359.21509635,0.0,0.00098516327750273,-1.483672249726997e-05,0.09070884922333441,0.6841777491141332,True
grid,47315125.896148026,0.0,0.000962738217498012,-3.726178250198803e-05,0.11059783987885244,1.6010691399583736,True
grid,50118723.36272725,0.0,0.0009408236140387648,-5.917638596123517e-05,0.13404918918667327,2.5011046276360798,True
grid,53088444.423098795,0.0,0.0009194078477124968,-8.059215228750324e-05,0.15883681084299847,3.3825229023431276,True
grid,56234132.51903491,0.0,0.0008984795635969748,-0.00010152043640302517,0.18554283241061664,4.246360288531624,True
grid,59566214.35290109,0.0,0.0008780276652389218,-0.00012197233476107826,0.20956150913786215,5.088454899580992,True
grid,63095734.448019296,0.0,0.0008580413087703714,-0.00014195869122962863,0.23537327437515768,5.9137209235603025,True
grid,66834391.756861486,0.0,0.0008385098971602604,-0.00016149010283973957,0.25910403801101684,6.7187081516006,True
grid,70794578.43841374,0.0,0.000819423074596222,-0.00018057692540377802,0.281918854406764,7.5049958705578845,True
grid,74989420.93324558,0.0,0.0008007707209939204,-0.00019922927900607962,0.3063524369291506,8.275523597172334,True
grid,79432823.47242822,0.0,0.0007825429466248132,-0.00021745705337518687,0.3259472800826013,9.024229415090076,True
grid,84139514.16451947,0.0,0.0007647300868853924,-0.00023526991311460766,0.34689733757797564,9.757693862162283,True
grid,89125093.8133746,0.0,0.0007473226971579163,-0.00025267730284208375,0.36832237035634546,10.475414484039694,True
grid,94406087.62859227,0.0,0.0007303115478169983,-0.0002696884521830017,0.3849555986477034,11.17249368596777,True
grid,100000000.0,0.0,0.0007136876193259811,-0.00028631238067401894,0.4031044625334848,11.855599689494241,True
grid,105925372.51772897,0.0,0.0006974420974531075,-0.00030255790254689254,0.42170148564314464,12.524017587518845,True
grid,112201845.43019652,0.0,0.0006815663686157539,-0.0003184336313842461,0.4361227750235254,13.17346803039337,True
grid,118850222.74370165,0.0,0.0006660520152860662,-0.0003339479847139338,0.4519864102417542,13.809905798799106,True
grid,125892541.17941661,0.0,0.0006508908115495873,-0.0003491091884504127,0.4693558508719582,14.433723388888467,True
grid,133352143.2163324,0.0,0.0006360747187391531,-0.00036392528126084694,0.4814264923632584,15.038437742797136,True
grid,141253754.46227553,0.0,0.0006215958811621203,-0.0003784041188378797,0.4943171289060808,15.630481882421268,True
grid,149623565.60944358,0.0,0.0006074466219449168,-0.00039255337805508324,0.5084849765213947,16.210620098724725,True
grid,158489319.2461111,0.0,0.0005936194389729078,-0.0004063805610270922,0.5211566159077196,16.77637905699141,True
grid,167880401.8122559,0.0,0.0005801070008804922,-0.0004198929991195078,0.5317597735304533,17.327479738310764,True
grid,177827941.00389227,0.0,0.0005669021431946005,-0.00043309785680539954,0.5435423306847448,17.867456602900724,True
grid,188364908.9489802,0.0,0.0005539978645313551,-0.0004460021354686449,0.5565879349367303,18.396673353682523,True
grid,199526231.49688828,0.0,0.0005413873228681152,-0.0004586126771318848,0.5660708460239022,18.910577931299294,True
