case_id,dataset_id,dataset_version,expected,friction_coefficient,incident_speed_m_s,impact_angle_degrees,kinetic_energy_after_j,kinetic_energy_before_j,lifecycle,metric,normal_restitution,normal_impulse_ns,normalized_path,normalized_sha256,normalized_residual,point_id,predicted,raw_extracted_path,raw_extracted_sha256,regime,sample_phase,series_id,source_locator,standard_uncertainty,tangential_impulse_ns,unit,series_mean_squared_normalized_residual
billiard_alpha1_020,domenech_2023_ball_collision,1.0.0,56.391208,0.1,0.8,35.570041,0.40484577707807157,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.6409631653700298,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-32.37629909618073,billiard_alpha1_020,53.123736576185514,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.10092170862728198,-0.06409631653700298,degree,234.08979248066544
billiard_alpha1_021,domenech_2023_ball_collision,1.0.0,51.695728,0.1,0.8,36.258394,0.4051498868679696,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.6354100780062298,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,3.5509137425020407,billiard_alpha1_021,52.46895291965802,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.21775378838495554,-0.06354100780062298,degree,234.08979248066544
billiard_alpha1_022,domenech_2023_ball_collision,1.0.0,50.255705,0.1,0.8,37.295548,0.4056199448011033,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.6268702052195864,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,11.2279538677869,billiard_alpha1_022,51.480350821908914,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.10907114834363853,-0.06268702052195864,degree,234.08979248066544
billiard_alpha1_023,domenech_2023_ball_collision,1.0.0,49.056387,0.1,0.8,38.906868,0.40637860055567887,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.6131962811640517,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,6.80749484728588,billiard_alpha1_023,49.94004156166321,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.12980613007963068,-0.06131962811640517,degree,234.08979248066544
billiard_alpha1_024,domenech_2023_ball_collision,1.0.0,46.312922,0.1,0.8,40.106567,0.4069659770178277,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.6026998845037682,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,19.30290336525656,billiard_alpha1_024,48.79005707801695,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.12832966270118534,-0.06026998845037682,degree,234.08979248066544
billiard_alpha1_025,domenech_2023_ball_collision,1.0.0,51.789266,0.1,0.8,40.150665,0.4069879350206981,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.6023089993712502,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-29.215969202313875,billiard_alpha1_025,48.747738796753374,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.10410495651144572,-0.06023089993712502,degree,234.08979248066544
billiard_alpha1_026,domenech_2023_ball_collision,1.0.0,48.978685,0.1,0.8,40.959997,0.40739556843490377,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.5950719476030252,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-8.771439110814423,billiard_alpha1_026,47.970500038408154,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.11493951549510727,-0.05950719476030252,degree,234.08979248066544
billiard_alpha1_027,domenech_2023_ball_collision,1.0.0,47.825115,0.1,0.8,42.839383,0.4083761683193169,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.5778109826845463,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-12.362377909425067,billiard_alpha1_027,46.16173692948017,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.13455162774563525,-0.057781098268454636,degree,234.08979248066544
billiard_alpha1_028,domenech_2023_ball_collision,1.0.0,45.460537,0.1,0.8,43.571678,0.4087711684828177,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.5709159762925579,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-0.021860321453105798,billiard_alpha1_028,45.455599765454814,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.2258537028277376,-0.05709159762925579,degree,234.08979248066544
billiard_alpha1_029,domenech_2023_ball_collision,1.0.0,43.96789,0.1,0.8,44.727561,0.4094094321165438,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.5598432975964331,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,3.716952006547558,billiard_alpha1_029,44.33958520065475,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.1,-0.05598432975964332,degree,234.08979248066544
