point_id,dataset_id,dataset_version,lifecycle,series_id,case_id,metric,sample_phase,impact_angle_degrees,incident_speed_m_s,expected,unit,standard_uncertainty,source_locator,normalized_path,normalized_sha256,raw_extracted_path,raw_extracted_sha256
billiard_alpha1_021,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_021,cue_scattering_angle_degrees,immediate_post_impact,36.258394,0.8,51.695728,degree,0.21775378838495554,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_022,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_022,cue_scattering_angle_degrees,immediate_post_impact,37.295548,0.8,50.255705,degree,0.10907114834363853,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_023,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_023,cue_scattering_angle_degrees,immediate_post_impact,38.906868,0.8,49.056387,degree,0.12980613007963068,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_024,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_024,cue_scattering_angle_degrees,immediate_post_impact,40.106567,0.8,46.312922,degree,0.12832966270118534,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_025,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_025,cue_scattering_angle_degrees,immediate_post_impact,40.150665,0.8,51.789266,degree,0.10410495651144572,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_026,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_026,cue_scattering_angle_degrees,immediate_post_impact,40.959997,0.8,48.978685,degree,0.11493951549510727,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_027,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_027,cue_scattering_angle_degrees,immediate_post_impact,42.839383,0.8,47.825115,degree,0.13455162774563525,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_028,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_028,cue_scattering_angle_degrees,immediate_post_impact,43.571678,0.8,45.460537,degree,0.2258537028277376,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_029,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_029,cue_scattering_angle_degrees,immediate_post_impact,44.727561,0.8,43.96789,degree,0.1,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_030,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_030,cue_scattering_angle_degrees,immediate_post_impact,47.220718,0.8,43.011738,degree,0.20518701160222108,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_031,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_031,cue_scattering_angle_degrees,immediate_post_impact,48.128668,0.8,39.957422,degree,0.21618033888631039,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_032,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_032,cue_scattering_angle_degrees,immediate_post_impact,49.014459,0.8,41.483431,degree,0.10027305732349046,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_033,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_033,cue_scattering_angle_degrees,immediate_post_impact,51.104769,0.8,41.484605,degree,0.10019334839324416,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_034,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_034,cue_scattering_angle_degrees,immediate_post_impact,51.708166,0.8,35.382378,degree,0.13073572338500292,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_035,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_035,cue_scattering_angle_degrees,immediate_post_impact,52.008524,0.8,38.121393,degree,0.10112982028190301,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_036,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_036,cue_scattering_angle_degrees,immediate_post_impact,53.857630,0.8,35.670009,degree,0.10056075787801125,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_037,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_037,cue_scattering_angle_degrees,immediate_post_impact,56.552354,0.8,32.940616,degree,0.12087886577168898,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_038,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_038,cue_scattering_angle_degrees,immediate_post_impact,57.529459,0.8,30.295704,degree,0.10005356466538312,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
